,1,2,3,4,5,sum,low_sum,high_sum,high_low_ratio
の一部のみ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の主張です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
わかってること,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
れてます,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
よくわかります,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,inf
れてしまう,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
られる本です,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,inf
られるだろう,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の愚痴です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の愚痴みたい,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,inf
よってだけ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
よく分からない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の本です,3.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,inf
の皮肉か,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の良いかも,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
も言わず,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
も見受けられる,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は人それぞれ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
べきものか,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は表れます,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は言いがたい,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
もなかった,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
もう止そう,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
もいます,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
むいている,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
まで続きます,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
まだ許せる,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ふしがある,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ません．,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ほうがいい,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
も疑問です,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ほうがよい,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ませんよ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ません…,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ほしかったです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ほしかったなあ,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ほんとがっかり,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ぼくは思う,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ましょう！,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
まいりました,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ましである,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は苦痛です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
もなります,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は考えた,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は絶妙です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は伝えたい,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
も異なります,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は初めてだ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
も残らない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は堪らない,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
も星ひとつ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
も多かった,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は常識レベル,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
もわからない,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は思えない,2.0,2.0,1.0,0.0,0.0,5.0,4.0,0.0,inf
もらいました,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
もまた事実,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は抑えがたい,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は最初のみ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ものの繰り返しです,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は正解です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は活けない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
は無かった,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ものだそうだ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ものすごい期待はずれ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ものが多い,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
のような,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
わけですが,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
なので捨てます,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
になりたい,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
な矛盾点,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
な読後感です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
にあった,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ツッコミどころ満載です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
タイトルでした,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
にくいことこの上ない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ストレスを感じる,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ジョークですね,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
にすむ本,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ザラですから,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ゴミ箱行きです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
トンデモ本”です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
コントロールできた,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
キツイと思う,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
オブジェである,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
にはある,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
にはなる,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
オチがない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
にもなる,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
エンジョイできます,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
エレファントマン」です,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
にオススメする,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ツボだよ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ナンボですね,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
のもおもしろい,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
バカ売れした,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
